Pallet,Storage,Assertion,Chain,When,Rust Test
VoterList,ListNodes,correct,Asset Hub,after,[line 118](https://github.com/polkadot-fellows/runtimes/tree/a15fd2f2e60976bad12fce9c38d47dbce1f8f74b/pallets/ah-migrator/src/staking/bags_list.rs:118)
VoterList,CounterForListNodes,empty,Asset Hub,before,
VoterList,CounterForListNodes,empty,Relay,after,
VoterList,CounterForListNodes,length,Asset Hub,after,
VoterList,CounterForListNodes,consistent,Asset Hub,after,
VoterList,CounterForListNodes,correct,Asset Hub,after,
VoterList,ListBags,empty,Asset Hub,before,[line 86](https://github.com/polkadot-fellows/runtimes/tree/a15fd2f2e60976bad12fce9c38d47dbce1f8f74b/pallets/ah-migrator/src/staking/bags_list.rs:86)
VoterList,ListBags,empty,Relay,after,
VoterList,ListBags,length,Asset Hub,after,
VoterList,ListBags,consistent,Asset Hub,after,
VoterList,ListBags,correct,Asset Hub,after,[line 119](https://github.com/polkadot-fellows/runtimes/tree/a15fd2f2e60976bad12fce9c38d47dbce1f8f74b/pallets/ah-migrator/src/staking/bags_list.rs:119)
NominationPools,TotalValueLocked,empty,Asset Hub,before,
NominationPools,TotalValueLocked,empty,Relay,after,
NominationPools,TotalValueLocked,length,Asset Hub,after,
NominationPools,TotalValueLocked,consistent,Asset Hub,after,
NominationPools,TotalValueLocked,correct,Asset Hub,after,
NominationPools,MinJoinBond,empty,Asset Hub,before,
NominationPools,MinJoinBond,empty,Relay,after,
NominationPools,MinJoinBond,length,Asset Hub,after,
NominationPools,MinJoinBond,consistent,Asset Hub,after,
NominationPools,MinJoinBond,correct,Asset Hub,after,
NominationPools,MinCreateBond,empty,Asset Hub,before,
NominationPools,MinCreateBond,empty,Relay,after,
NominationPools,MinCreateBond,length,Asset Hub,after,
NominationPools,MinCreateBond,consistent,Asset Hub,after,
NominationPools,MinCreateBond,correct,Asset Hub,after,
NominationPools,MaxPools,empty,Asset Hub,before,
NominationPools,MaxPools,empty,Relay,after,
NominationPools,MaxPools,length,Asset Hub,after,
NominationPools,MaxPools,consistent,Asset Hub,after,
NominationPools,MaxPools,correct,Asset Hub,after,
NominationPools,MaxPoolMembers,empty,Asset Hub,before,
NominationPools,MaxPoolMembers,empty,Relay,after,
NominationPools,MaxPoolMembers,length,Asset Hub,after,
NominationPools,MaxPoolMembers,consistent,Asset Hub,after,
NominationPools,MaxPoolMembers,correct,Asset Hub,after,
NominationPools,MaxPoolMembersPerPool,empty,Asset Hub,before,
NominationPools,MaxPoolMembersPerPool,empty,Relay,after,
NominationPools,MaxPoolMembersPerPool,length,Asset Hub,after,
NominationPools,MaxPoolMembersPerPool,consistent,Asset Hub,after,
NominationPools,MaxPoolMembersPerPool,correct,Asset Hub,after,
NominationPools,GlobalMaxCommission,empty,Asset Hub,before,
NominationPools,GlobalMaxCommission,empty,Relay,after,
NominationPools,GlobalMaxCommission,length,Asset Hub,after,
NominationPools,GlobalMaxCommission,consistent,Asset Hub,after,
NominationPools,GlobalMaxCommission,correct,Asset Hub,after,
NominationPools,PoolMembers,empty,Asset Hub,before,
NominationPools,PoolMembers,empty,Relay,after,
NominationPools,PoolMembers,length,Asset Hub,after,
NominationPools,PoolMembers,consistent,Asset Hub,after,
NominationPools,PoolMembers,correct,Asset Hub,after,
NominationPools,CounterForPoolMembers,empty,Asset Hub,before,
NominationPools,CounterForPoolMembers,empty,Relay,after,
NominationPools,CounterForPoolMembers,length,Asset Hub,after,
NominationPools,CounterForPoolMembers,consistent,Asset Hub,after,
NominationPools,CounterForPoolMembers,correct,Asset Hub,after,
NominationPools,BondedPools,empty,Asset Hub,before,
NominationPools,BondedPools,empty,Relay,after,
NominationPools,BondedPools,length,Asset Hub,after,
NominationPools,BondedPools,consistent,Asset Hub,after,
NominationPools,BondedPools,correct,Asset Hub,after,
NominationPools,CounterForBondedPools,empty,Asset Hub,before,
NominationPools,CounterForBondedPools,empty,Relay,after,
NominationPools,CounterForBondedPools,length,Asset Hub,after,
NominationPools,CounterForBondedPools,consistent,Asset Hub,after,
NominationPools,CounterForBondedPools,correct,Asset Hub,after,
NominationPools,RewardPools,empty,Asset Hub,before,
NominationPools,RewardPools,empty,Relay,after,
NominationPools,RewardPools,length,Asset Hub,after,
NominationPools,RewardPools,consistent,Asset Hub,after,
NominationPools,RewardPools,correct,Asset Hub,after,
NominationPools,CounterForRewardPools,empty,Asset Hub,before,
NominationPools,CounterForRewardPools,empty,Relay,after,
NominationPools,CounterForRewardPools,length,Asset Hub,after,
NominationPools,CounterForRewardPools,consistent,Asset Hub,after,
NominationPools,CounterForRewardPools,correct,Asset Hub,after,
NominationPools,SubPoolsStorage,empty,Asset Hub,before,
NominationPools,SubPoolsStorage,empty,Relay,after,
NominationPools,SubPoolsStorage,length,Asset Hub,after,
NominationPools,SubPoolsStorage,consistent,Asset Hub,after,
NominationPools,SubPoolsStorage,correct,Asset Hub,after,
NominationPools,CounterForSubPoolsStorage,empty,Asset Hub,before,
NominationPools,CounterForSubPoolsStorage,empty,Relay,after,
NominationPools,CounterForSubPoolsStorage,length,Asset Hub,after,
NominationPools,CounterForSubPoolsStorage,consistent,Asset Hub,after,
NominationPools,CounterForSubPoolsStorage,correct,Asset Hub,after,
NominationPools,Metadata,empty,Asset Hub,before,
NominationPools,Metadata,empty,Relay,after,
NominationPools,Metadata,length,Asset Hub,after,
NominationPools,Metadata,consistent,Asset Hub,after,
NominationPools,Metadata,correct,Asset Hub,after,
NominationPools,CounterForMetadata,empty,Asset Hub,before,
NominationPools,CounterForMetadata,empty,Relay,after,
NominationPools,CounterForMetadata,length,Asset Hub,after,
NominationPools,CounterForMetadata,consistent,Asset Hub,after,
NominationPools,CounterForMetadata,correct,Asset Hub,after,
NominationPools,LastPoolId,empty,Asset Hub,before,
NominationPools,LastPoolId,empty,Relay,after,
NominationPools,LastPoolId,length,Asset Hub,after,
NominationPools,LastPoolId,consistent,Asset Hub,after,
NominationPools,LastPoolId,correct,Asset Hub,after,
NominationPools,ReversePoolIdLookup,empty,Asset Hub,before,
NominationPools,ReversePoolIdLookup,empty,Relay,after,
NominationPools,ReversePoolIdLookup,length,Asset Hub,after,
NominationPools,ReversePoolIdLookup,consistent,Asset Hub,after,
NominationPools,ReversePoolIdLookup,correct,Asset Hub,after,
NominationPools,CounterForReversePoolIdLookup,empty,Asset Hub,before,
NominationPools,CounterForReversePoolIdLookup,empty,Relay,after,
NominationPools,CounterForReversePoolIdLookup,length,Asset Hub,after,
NominationPools,CounterForReversePoolIdLookup,consistent,Asset Hub,after,
NominationPools,CounterForReversePoolIdLookup,correct,Asset Hub,after,
NominationPools,ClaimPermissions,empty,Asset Hub,before,
NominationPools,ClaimPermissions,empty,Relay,after,
NominationPools,ClaimPermissions,length,Asset Hub,after,
NominationPools,ClaimPermissions,consistent,Asset Hub,after,
NominationPools,ClaimPermissions,correct,Asset Hub,after,
FastUnstake,Head,empty,Asset Hub,before,
FastUnstake,Head,empty,Relay,after,
FastUnstake,Head,length,Asset Hub,after,
FastUnstake,Head,consistent,Asset Hub,after,
FastUnstake,Head,correct,Asset Hub,after,
FastUnstake,Queue,empty,Asset Hub,before,
FastUnstake,Queue,empty,Relay,after,
FastUnstake,Queue,length,Asset Hub,after,
FastUnstake,Queue,consistent,Asset Hub,after,
FastUnstake,Queue,correct,Asset Hub,after,
FastUnstake,CounterForQueue,empty,Asset Hub,before,
FastUnstake,CounterForQueue,empty,Relay,after,
FastUnstake,CounterForQueue,length,Asset Hub,after,
FastUnstake,CounterForQueue,consistent,Asset Hub,after,
FastUnstake,CounterForQueue,correct,Asset Hub,after,
FastUnstake,ErasToCheckPerBlock,empty,Asset Hub,before,
FastUnstake,ErasToCheckPerBlock,empty,Relay,after,
FastUnstake,ErasToCheckPerBlock,length,Asset Hub,after,
FastUnstake,ErasToCheckPerBlock,consistent,Asset Hub,after,
FastUnstake,ErasToCheckPerBlock,correct,Asset Hub,after,
DelegatedStaking,Delegators,empty,Asset Hub,before,
DelegatedStaking,Delegators,empty,Relay,after,
DelegatedStaking,Delegators,length,Asset Hub,after,
DelegatedStaking,Delegators,consistent,Asset Hub,after,
DelegatedStaking,Delegators,correct,Asset Hub,after,
DelegatedStaking,CounterForDelegators,empty,Asset Hub,before,
DelegatedStaking,CounterForDelegators,empty,Relay,after,
DelegatedStaking,CounterForDelegators,length,Asset Hub,after,
DelegatedStaking,CounterForDelegators,consistent,Asset Hub,after,
DelegatedStaking,CounterForDelegators,correct,Asset Hub,after,
DelegatedStaking,Agents,empty,Asset Hub,before,
DelegatedStaking,Agents,empty,Relay,after,
DelegatedStaking,Agents,length,Asset Hub,after,
DelegatedStaking,Agents,consistent,Asset Hub,after,
DelegatedStaking,Agents,correct,Asset Hub,after,
DelegatedStaking,CounterForAgents,empty,Asset Hub,before,
DelegatedStaking,CounterForAgents,empty,Relay,after,
DelegatedStaking,CounterForAgents,length,Asset Hub,after,
DelegatedStaking,CounterForAgents,consistent,Asset Hub,after,
DelegatedStaking,CounterForAgents,correct,Asset Hub,after,
Configuration,,,,,
ParasShared,,,,,
ParaInclusion,,,,,
ParaInherent,,,,,
ParaScheduler,,,,,
Paras,,,,,
Initializer,,,,,
Dmp,,,,,
Hrmp,,,,,
ParaSessionInfo,,,,,
ParasDisputes,,,,,
ParasSlashing,,,,,
OnDemand,,,,,
CoretimeAssignmentProvider,,,,,
Registrar,,,,,
Slots,Leases,empty,Asset Hub,before,
Slots,Leases,empty,Relay,after,
Slots,Leases,length,Asset Hub,after,
Slots,Leases,consistent,Asset Hub,after,
Slots,Leases,correct,Asset Hub,after,
Auctions,,,,,
Crowdloan,Funds,empty,Asset Hub,before,
Crowdloan,Funds,empty,Relay,after,
Crowdloan,Funds,length,Asset Hub,after,
Crowdloan,Funds,consistent,Asset Hub,after,
Crowdloan,Funds,correct,Asset Hub,after,
Crowdloan,NewRaise,empty,Asset Hub,before,
Crowdloan,NewRaise,empty,Relay,after,
Crowdloan,NewRaise,length,Asset Hub,after,
Crowdloan,NewRaise,consistent,Asset Hub,after,
Crowdloan,NewRaise,correct,Asset Hub,after,
Crowdloan,EndingsCount,empty,Asset Hub,before,
Crowdloan,EndingsCount,empty,Relay,after,
Crowdloan,EndingsCount,length,Asset Hub,after,
Crowdloan,EndingsCount,consistent,Asset Hub,after,
Crowdloan,EndingsCount,correct,Asset Hub,after,
Crowdloan,NextFundIndex,empty,Asset Hub,before,
Crowdloan,NextFundIndex,empty,Relay,after,
Crowdloan,NextFundIndex,length,Asset Hub,after,
Crowdloan,NextFundIndex,consistent,Asset Hub,after,
Crowdloan,NextFundIndex,correct,Asset Hub,after,
StateTrieMigration,,,,,
XcmPallet,,,,,
MessageQueue,,,,,
AssetRate,ConversionRateToNative,empty,Asset Hub,before,
AssetRate,ConversionRateToNative,empty,Relay,after,
AssetRate,ConversionRateToNative,length,Asset Hub,after,
AssetRate,ConversionRateToNative,consistent,Asset Hub,after,
AssetRate,ConversionRateToNative,correct,Asset Hub,after,
Beefy,,,,,
Mmr,,,,,
BeefyMmrLeaf,,,,,
RcMigrator,,,,,
